"Timestamp","What is your Rice Purity Test Score?","What is your sexuality?","What is your sex?","What gender do you identify with?","Are you transgender?","What is your age?","How would you define yourself politically?","Would you consider yourself religious?","How concerned are you about climate change?","Select the drugs below you think should be decriminalized:","Do you think the police service funding should be:","How many times a week do you masturbate?","How often do you have sex in a month?","Would you consider yourself ""sexually free""?","Would you describe yourself as a kinky person?","Do you think your parents be disappointed in you if they knew the details of your sex life?","How scared are you of catching STDs/STIs?","How scared are you of having/causing an unwanted pregnancy?","What is the highest education level you have completed OR are currently pursuing?","How many years have you lived apart from your parents?","What is your annual income?","Would you say you are a(n):","Would you consider yourself a healthy person?"
"2020/11/16 3:45:56 AM CST","28","Heterosexual","Female","Female","No","18","Left","Maybe","Decently concerned","Marijuana;Psychedelics","Lessened","0","3 - 8 times","No","No","Yes","Not at all scared","Very scared","Associate's Degree (2 year)","0 (I have never lived apart from my parents)","$0 - $10,000","Extrovert","Maybe"
"2020/11/16 3:46:16 AM CST","17","Bisexual","Female","Female","No","20","Left","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","1","1 - 2 times","Yes","No","No","A little scared","A little scared","Bachelor's Degree (4 year)","1 - 2","$0 - $10,000","Ambivert","No"
"2020/11/16 3:46:45 AM CST","36","Questioning","Male","Male","No","23","Left","No","Decently concerned","Marijuana","Lessened","7 - 10","9 - 15 times","No","No","No","A little scared","Not Applicable","Master's Degree","3 - 5","$10,001 - $30,000","Introvert","Maybe"
"2020/11/16 3:47:01 AM CST","64","Asexual","Male","Male","No","32","Left","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","2 - 4","I have never had sex","Yes","Yes","No","Not at all scared","Not at all scared","Associate's Degree (2 year)","10+","$10,001 - $30,000","Ambivert","Maybe"
"2020/11/16 3:47:24 AM CST","51","Heterosexual","Female","Female","No","18","Center","No","Somewhat concerned","Marijuana","Lessened","2 - 4","1 - 2 times","Maybe","Yes","I don't know","A little scared","Absolutely terrified","High School / GED Equivalent","0 (I have never lived apart from my parents)","$0 - $10,000","Ambivert","No"
"2020/11/16 3:48:30 AM CST","23","Bisexual","Female","Female","No","23","Left","No","Very concerned","Marijuana;Psychedelics","Lessened","5 - 7","1 - 2 times","No","No","Yes","Decently scared","Very scared","Bachelor's Degree (4 year)","0 (I have never lived apart from my parents)","$0 - $10,000","Introvert","No"
"2020/11/16 3:52:09 AM CST","75","Homosexual","Female","Female","No","24","Left","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Abolished","2 - 4","I have never had sex","Maybe","No","No","Not at all scared","Not at all scared","Master's Degree","1 - 2","$10,001 - $30,000","Introvert","Yes"
"2020/11/16 3:53:26 AM CST","29","Heterosexual","Female","Female","No","36","Left","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Abolished","2 - 4","I have had sex, but not recently, or not frequent enough to be monthly","Maybe","No","Yes","Not at all scared","Not at all scared","High School / GED Equivalent","10+","$50,001 - $80,000","Introvert","Yes"
"2020/11/16 3:53:46 AM CST","96","Heterosexual","Male","Male","No","19","Center","Yes","Decently concerned","I don't think any of these drugs should be decriminalized","Lessened","2 - 4","I have never had sex","No","No","No","Not at all scared","Not at all scared","Bachelor's Degree (4 year)","0 (I have never lived apart from my parents)","$0 - $10,000","Ambivert","Maybe"
"2020/11/16 3:55:37 AM CST","91","Bisexual","Male","Male","No","18","Left","No","Decently concerned","I don't think any of these drugs should be decriminalized","Left the way it is","7 - 10","I have never had sex","No","No","I don't know","Somewhat scared","Decently scared","High School / GED Equivalent","0 (I have never lived apart from my parents)","$30,001 - $50,000","Introvert","Maybe"
"2020/11/16 4:00:23 AM CST","62","Homosexual","Female","Female","No","23","Left","No","Very concerned","Marijuana","Abolished","2 - 4","I have had sex, but not recently, or not frequent enough to be monthly","Maybe","No","No","Somewhat scared","Not at all scared","Bachelor's Degree (4 year)","1 - 2","$0 - $10,000","Introvert","Yes"
"2020/11/16 4:01:51 AM CST","52","Heterosexual","Female","Female","No","20","Center","No","Not at all concerned","Marijuana;I don't think any of these drugs should be decriminalized","Lessened","5 - 7","I have had sex, but not recently, or not frequent enough to be monthly","Maybe","No","No","Decently scared","Decently scared","Bachelor's Degree (4 year)","3 - 5","$0 - $10,000","Introvert","Maybe"
"2020/11/16 4:02:20 AM CST","86","Heterosexual","Male","Male","No","32","Left","No","Very concerned","I don't think any of these drugs should be decriminalized","Lessened","5 - 7","I have never had sex","No","No","Yes","Not at all scared","Not at all scared","Bachelor's Degree (4 year)","3 - 5","$10,001 - $30,000","Introvert","No"
"2020/11/16 4:02:50 AM CST","92","Heterosexual","Female","Female","No","19","Left","No","Somewhat concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","5 - 7","I have never had sex","No","No","I don't know","Not at all scared","Not at all scared","Bachelor's Degree (4 year)","0 (I have never lived apart from my parents)","$0 - $10,000","Introvert","No"
"2020/11/16 4:02:53 AM CST","31","Bisexual","Male","Male","No","23","Center","No","Decently concerned","Marijuana","Left the way it is","5 - 7","I have had sex, but not recently, or not frequent enough to be monthly","Yes","Yes","No","A little scared","Not at all scared","Bachelor's Degree (4 year)","1 - 2","$10,001 - $30,000","Extrovert","Yes"
"2020/11/16 4:03:47 AM CST","58","Bisexual","Male","Male","No","20","Left","No","Very concerned","Marijuana","Lessened","2 - 4","1 - 2 times","Yes","Yes","No","Not at all scared","Not at all scared","Bachelor's Degree (4 year)","1 - 2","$10,001 - $30,000","Introvert","Yes"
"2020/11/16 4:04:38 AM CST","89","Bisexual","Male","Male","No","19","Left","No","Decently concerned","Marijuana","Lessened","5 - 7","I have never had sex","No","Yes","I don't know","Decently scared","Somewhat scared","Bachelor's Degree (4 year)","1 - 2","$0 - $10,000","Introvert","Maybe"
"2020/11/16 4:06:37 AM CST","35","Homosexual","Female","Male","Yes","23","Left","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","2 - 4","3 - 8 times","Yes","Yes","Yes","Somewhat scared","Somewhat scared","Bachelor's Degree (4 year)","3 - 5","$30,001 - $50,000","Introvert","Maybe"
"2020/11/16 4:06:59 AM CST","85","Homosexual","Female","Female","No","18","Left","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","2 - 4","I have never had sex","Maybe","No","No","A little scared","Not Applicable","Associate's Degree (2 year)","0 (I have never lived apart from my parents)","$0 - $10,000","Introvert","Yes"
"2020/11/16 4:07:02 AM CST","46","Bisexual","Prefer not to say","Non-binary","Yes","22","Left","No","Very concerned","Marijuana;Psychedelics","Lessened","0","9 - 15 times","Maybe","No","Yes","Not at all scared","Decently scared","Bachelor's Degree (4 year)","3 - 5","$30,001 - $50,000","Ambivert","Maybe"
"2020/11/16 4:09:02 AM CST","96","Asexual","Male","Male","No","21","Left","No","Very concerned","I don't think any of these drugs should be decriminalized","Lessened","2 - 4","I have never had sex","No","No","Yes","A little scared","Not at all scared","Bachelor's Degree (4 year)","3 - 5","$0 - $10,000","Introvert","Maybe"
"2020/11/16 4:09:11 AM CST","35","Heterosexual","Male","Male","No","23","Left","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","2 - 4","I have had sex, but not recently, or not frequent enough to be monthly","Maybe","Yes","Yes","Decently scared","Very scared","Master's Degree","3 - 5","$0 - $10,000","Introvert","Yes"
"2020/11/16 4:10:02 AM CST","65","Heterosexual","Male","Male","No","23","Don’t identify with western political terms","No","Decently concerned","Marijuana","Lessened","7 - 10","3 - 8 times","No","Yes","No","Very scared","Decently scared","Bachelor's Degree (4 year)","1 - 2","$0 - $10,000","Introvert","No"
"2020/11/16 4:10:52 AM CST","93","Heterosexual","Male","Male","No","19","Left","No","Decently concerned","Marijuana;Psychedelics","Increased","5 - 7","I have never had sex","No","Yes","I don't know","Not at all scared","Not Applicable","Bachelor's Degree (4 year)","1 - 2","$30,001 - $50,000","Introvert","Maybe"
"2020/11/16 4:11:17 AM CST","83","Heterosexual","Male","Male","No","22","Center","No","A little concerned","I don't think any of these drugs should be decriminalized","Left the way it is","10+","I have never had sex","No","Yes","No","A little scared","A little scared","Master's Degree","0 (I have never lived apart from my parents)","$0 - $10,000","Introvert","No"
"2020/11/16 4:11:42 AM CST","90","Heterosexual","Female","Female","No","22","Left","No","Very concerned","Marijuana","Lessened","1","I have never had sex","No","No","Yes","Absolutely terrified","Absolutely terrified","Bachelor's Degree (4 year)","0 (I have never lived apart from my parents)","$10,001 - $30,000","Ambivert","Yes"
"2020/11/16 4:11:44 AM CST","47","Heterosexual","Male","Male","No","21","Center","Yes","Very concerned","I don't think any of these drugs should be decriminalized","Lessened","2 - 4","3 - 8 times","Yes","Yes","Yes","Not at all scared","Somewhat scared","Bachelor's Degree (4 year)","1 - 2","$0 - $10,000","Introvert","No"
"2020/11/16 4:12:19 AM CST","33","Homosexual","Female","Female","No","21","Left","Maybe","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","2 - 4","3 - 8 times","Yes","Yes","No","Not at all scared","Not Applicable","Bachelor's Degree (4 year)","3 - 5","$10,001 - $30,000","Extrovert","Maybe"
